,Year,States,Coal,NG,Petro
0,2008,AK,16.920739315529858,53.3042097474318,262.21324583802175
1,2008,AL,31.29948683021751,110.77068851227317,251.55046343677904
2,2008,AR,20.015759866936982,119.52212593349331,177.53193119011775
3,2008,AZ,20.132186972319072,98.4973311532449,269.8198167229847
4,2008,CA,16.94984609187538,91.46319353641054,264.37684954637217
5,2008,CO,16.72669413989305,79.55852201109222,274.1373218809037
6,2008,CT,40.623357519566234,324.1815726776372,253.21925194725563
7,2008,DE,33.5018995736953,116.81519573335977,240.29584324984404
8,2008,FL,33.68624249055028,118.5616023140911,144.2531835684048
9,2008,GA,35.33562648346315,118.25113003307219,206.3282352546204
10,2008,HI,16.920739315529858,53.3042097474318,200.17700318693355
11,2008,IA,13.748100693868011,109.45118131794287,259.8361924364708
12,2008,ID,17.71632453564078,98.38090404786284,276.8345498222554
13,2008,IL,20.811345087047904,105.24040100662407,272.32299948869957
14,2008,IN,22.16966131650557,116.44650989964988,261.62140805232946
15,2008,KS,16.464733152783356,90.29892248258969,258.25472425503085
16,2008,KY,25.216170574003502,134.92931287905603,257.2262848241557
17,2008,LA,27.467094611390497,111.56627373238409,122.58803970855492
18,2008,MA,40.623357519566234,126.30400482199985,212.79964186210802
19,2008,MD,43.02951769746269,118.76534974850975,214.7109868421306
20,2008,ME,40.623357519566234,134.02700281234488,214.7109868421306
21,2008,MI,22.615965220470244,118.48398424383637,224.81103823402663
22,2008,MN,19.326899493426307,109.41237228281547,259.84589469525275
23,2008,MO,17.43495903096741,94.7619615222363,254.6454839881862
24,2008,MS,38.042556683596665,108.20929219386727,190.36801955849273
25,2008,MT,15.581827603635865,111.39163307431096,241.57654140904694
26,2008,NC,37.916427319432735,141.75000080268995,254.18947782543964
27,2008,ND,12.59353189882899,108.56827576879537,267.2099091106696
28,2008,NE,10.54635529586064,103.8044667069117,262.35877971974935
29,2008,NH,40.623357519566234,142.64260861061925,242.7020034277405
30,2008,NJ,48.103799040365274,125.40169475528862,206.69692108833033
31,2008,NM,23.18839848859883,92.84091428343189,286.9831125080606
32,2008,NV,25.69158125431369,93.21930237592368,267.491274615343
33,2008,NY,30.358367728378973,123.44183848135687,188.1365000386694
34,2008,OH,22.877926207579936,119.24076042881995,247.87330735846152
35,2008,OK,15.416889204344578,90.43475410553546,224.908060821845
36,2008,OR,16.94984609187538,100.03999029955754,9.469404571076343
37,2008,PA,32.512269177947566,117.44584255417944,229.03152080412724
38,2008,RI,40.623357519566234,111.2849082277107,214.7109868421306
39,2008,SC,33.29815213927665,115.81586307883023,174.0779270637825
40,2008,SD,20.248614077701156,68.00313180192018,276.7472294932188
41,2008,TN,25.031827657148536,110.70277270080031,246.23362562433047
42,2008,TX,21.86889129426852,96.40164325636735,218.6598061663397
43,2008,UT,16.057238283946052,76.5605240475035,264.0760795241352
44,2008,VA,30.765862597216273,124.74194115812348,187.27299900708562
45,2008,VT,40.623357519566234,112.52679735178627,234.7461512266312
46,2008,WA,16.94984609187538,103.77535993056615,314.2464596850325
47,2008,WI,22.431622303615274,114.51576040206358,239.2965105953145
48,2008,WV,27.28275169453553,112.70143800985943,260.58326636267253
49,2008,WY,13.360010342594391,85.53511342070597,265.5120138238475
50,2009,AK,0.0,59.047946946281385,156.72058610306985
51,2009,AL,30.843480667471,50.84953827562615,141.52684885070758
52,2009,AR,19.52094466906312,103.20292666243755,153.94574009146348
53,2009,AZ,21.09271059172128,51.868275447719384,79.59733104621958
54,2009,CA,17.037166420911944,52.828799067121615,148.89086326612454
55,2009,CO,18.279055544987532,45.03788526530367,133.2217153334521
56,2009,CT,41.99137600780575,154.702516276447,16.18336764810998
57,2009,DE,39.148614184726476,0.0,0.0
58,2009,FL,39.177720961072005,94.111910183853,117.51375836565234
59,2009,GA,42.00107826658759,52.29517483412038,147.92063738794047
60,2009,HI,0.0,59.047946946281385,119.59974400374803
61,2009,IA,14.31083170321476,58.18444591469757,138.32510345270023
62,2009,ID,18.541016532097228,73.61103737782399,14.582494949106295
63,2009,IL,20.724024758011343,79.91750558602033,162.10533972699133
64,2009,IN,23.47946625205405,57.96129396271524,150.2685840131459
65,2009,KS,16.63937381085648,48.60831649702098,110.92592465278264
66,2009,KY,25.303490903040064,87.33973355412832,161.73665389328139
67,2009,LA,27.544712681645223,51.441376061318415,113.80749551098926
68,2009,MA,41.99137600780575,60.23162251766592,114.10826553322629
69,2009,MD,32.07566753276474,57.89337815124237,124.12099659608572
70,2009,ME,41.99137600780575,57.214220036513524,124.12099659608572
71,2009,MI,23.954876932364233,75.11488748900928,122.87910747201013
72,2009,MN,19.152258835353173,78.68531872072658,146.71755729899223
73,2009,MO,17.70662227685894,55.61334733750983,150.9962534217839
74,2009,MS,39.294148066454085,50.742813429025894,107.75328603112077
75,2009,MT,16.076642801509735,56.33131448736603,0.0
76,2009,NC,42.38916861786121,98.43911760055387,148.2990254804323
77,2009,ND,13.311499048685187,0.0,155.23614050944826
78,2009,NE,15.445995980690101,74.98875812484536,119.72587336791193
79,2009,NH,41.99137600780575,93.4909656218152,148.00795771697707
80,2009,NJ,95.77099643554772,0.0,108.29661252290384
81,2009,NM,22.169661316505575,47.2985115614725,180.54933367127012
82,2009,NV,25.5751541489316,70.06001066367034,148.40575032703254
83,2009,NY,41.545072103841086,61.17274161950446,128.3511814249682
84,2009,OH,26.584189062243016,53.50795718185043,150.15215690776384
85,2009,OK,19.09404528266213,46.143942766433504,29.630698319740933
86,2009,OR,17.037166420911944,52.26606805777486,40.6136552607844
87,2009,PA,46.63875796430736,0.0,139.15949770793853
88,2009,RI,41.99137600780575,48.24933292209288,124.12099659608572
89,2009,SC,42.37946635907937,49.597946892768704,120.40503148264081
90,2009,SD,20.432956994556125,61.42500034783231,22.790605878543367
91,2009,TN,28.941837946230265,53.4012323352502,131.11632517779276
92,2009,TX,21.791273224013793,48.249332922092876,136.04507263896772
93,2009,UT,18.07530811056888,36.68424045413899,137.8885018075174
94,2009,VA,35.66550328204573,58.56283400718934,129.33110956193406
95,2009,VT,41.99137600780575,66.19851166849784,0.0
96,2009,WA,17.037166420911944,76.48290597724878,185.55569920269986
97,2009,WI,23.18839848859883,60.658521904066895,150.33649982461878
98,2009,WV,30.68824452696155,51.99440481188332,163.92936437797735
99,2009,WY,13.612269070922244,40.4681213790568,158.9229988465477
100,2010,AK,0.0,50.432341148007005,199.29409763778605
101,2010,AL,32.7354211299299,55.11853213963598,187.25359448952193
102,2010,AR,19.909035020336738,69.95328581707012,170.7694568191749
103,2010,AZ,20.850154122175265,66.62541105489883,194.1810072597561
104,2010,CA,17.774538088331823,58.73747466526249,154.41144851299183
105,2010,CO,18.30816232133305,58.000102997842596,64.62674574583967
106,2010,CT,45.096098817994715,44.38783392692036,17.250616114112436
107,2010,DE,39.97330618118293,14.795944642306786,0.0
108,2010,FL,40.157649098037886,76.08511336719333,155.93470314174078
109,2010,GA,45.45508239292282,57.54409683509609,198.0619107724923
110,2010,HI,0.0,50.432341148007005,166.74301942471112
111,2010,IA,15.484805015817463,73.87299836493368,176.8042617814797
112,2010,ID,19.317197234644468,77.53074992568757,0.0
113,2010,IL,22.324897457015023,81.36314214451457,0.0
114,2010,IN,24.789271187602516,58.18444591469757,194.28773210635632
115,2010,KS,17.599897430258697,59.571868920500755,178.977567748612
116,2010,KY,26.36103711026068,70.28316261565269,194.34594565904737
117,2010,LA,27.91339851535516,54.85657115252627,78.4718690275261
118,2010,MA,45.096098817994715,71.87433305587454,55.48721797334592
119,2010,MD,40.47782363783863,68.90544186863133,156.46832737474196
120,2010,ME,45.096098817994715,45.94989759079668,156.17725961128676
121,2010,MI,24.4982034241473,70.45780327372582,112.34245443493131
122,2010,MN,20.36504118308324,72.74753634624018,0.0
123,2010,MO,18.337269097678575,61.357084536359416,191.8912741872417
124,2010,MS,37.39250534521336,55.5842405611643,71.92284434978373
125,2010,MT,16.493839929128878,31.10544165458069,164.58911797514247
126,2010,NC,41.26370659916772,77.98675608843406,189.43660271543604
127,2010,ND,14.611601725451814,0.0,202.15626397842897
128,2010,NE,16.464733152783353,93.64620176232465,101.87371720932542
129,2010,NH,45.096098817994715,71.87433305587454,141.80821435538095
130,2010,NJ,0.0,0.0,0.0
131,2010,NM,24.00338822627344,56.826129685239906,226.5380402971942
132,2010,NV,28.1850617612467,69.94358355828827,86.39861445228979
133,2010,NY,45.25133495850416,64.3938915350755,151.4425573257486
134,2010,OH,24.624332788311225,58.805390476735354,180.20975461390577
135,2010,OK,19.93814179668226,54.90508244643548,84.44846043713984
136,2010,OR,17.774538088331823,59.75621183735573,15.63033889754507
137,2010,PA,31.183059724835413,9.935112992604688,166.99527815303895
138,2010,RI,45.096098817994715,62.70569850703525,156.17725961128676
139,2010,SC,43.14594480284477,56.57387095691203,164.12340955361415
140,2010,SD,22.683881031943123,47.43434318441827,18.346971356460415
141,2010,TN,30.678542268179708,59.047946946281385,169.80893319977272
142,2010,TX,21.636037083504345,53.16837812448602,160.65970316849706
143,2010,UT,19.724692103481768,50.20918919602467,205.4356274466911
144,2010,VA,38.25600637679715,66.50898394951675,148.34753677434148
145,2010,VT,45.096098817994715,66.15000037458863,0.0
146,2010,WA,17.774538088331823,64.3453802411663,39.47849098330906
147,2010,WI,24.50790568292914,65.2573925666593,162.09563746820947
148,2010,WV,28.922433428666576,47.57987706614589,199.3814179668226
149,2010,WY,14.960883041598073,46.97833702167176,201.14722906511759
150,2011,AK,0.0,58.310575278861506,270.8773629302054
151,2011,AL,33.375770209531375,50.898049569535345,255.1305969272782
152,2011,AR,22.286088421887662,60.968994185085805,142.24481600056382
153,2011,AZ,23.02346008930754,66.50898394951672,273.19620277906523
154,2011,CA,17.35734096071268,57.07838841356776,132.23208493770437
155,2011,CO,19.967248573027778,56.40893255762075,42.92279285086244
156,2011,CT,41.884651161205504,33.72505152567763,19.967248573027778
157,2011,DE,40.27407620341998,9.663449746713153,0.0
158,2011,FL,41.04055464718539,67.84789566141072,232.9415310932089
159,2011,GA,43.73778258853705,52.1593432111746,245.39923136909218
160,2011,HI,0.0,58.310575278861506,237.1620136633096
161,2011,IA,16.6199692932928,73.6886554480787,245.18578167589166
162,2011,ID,21.102412850503118,87.64050357636538,0.0
163,2011,IL,20.685215722883974,58.688963371353275,0.0
164,2011,IN,28.67987695912056,51.703337048428104,253.41329712289243
165,2011,KS,20.394147959428764,55.16704343354517,41.593583397750294
166,2011,KY,27.2051336242808,73.74686900076975,265.17243476648304
167,2011,LA,30.930800996507564,49.79199206840553,72.34004147740289
168,2011,MA,41.884651161205504,67.74117081481047,22.2472793867603
169,2011,MD,43.17505157919028,64.5103186404576,249.5226913513744
170,2011,ME,41.884651161205504,57.456776506059526,249.5226913513744
171,2011,MI,31.056930360671487,56.6805958035123,222.47279386760303
172,2011,MN,22.489835856306314,73.16473347385933,0.0
173,2011,MO,20.035164384500664,52.97433294884921,232.92212657564525
174,2011,MS,45.105801076776565,49.549435598859496,31.33829586534486
175,2011,MT,17.66781324173158,48.986704589512755,0.0
176,2011,NC,42.67053412253459,71.3116020465278,256.9643238370461
177,2011,ND,15.63033889754507,58.95092435846297,253.4132971228924
178,2011,NE,17.609599689040536,85.79707440781569,113.19625320773329
179,2011,NH,41.884651161205504,70.50631456763502,0.0
180,2011,NJ,0.0,0.0,0.0
181,2011,NM,23.90636563845503,56.496252886657324,286.2166340642952
182,2011,NV,30.174024811524006,58.339682055207035,187.8939435691234
183,2011,NY,45.50359368683201,62.00713587474273,228.37176720696206
184,2011,OH,26.681211650061417,47.17238219730858,261.7087283813661
185,2011,OK,20.442659253337965,51.49958961400945,14.980287559161756
186,2011,OR,17.35734096071268,61.599641005905426,45.959599849578524
187,2011,PA,33.98701251278733,0.0,255.23732177387842
188,2011,RI,41.884651161205504,58.83449725308088,249.5226913513744
189,2011,SC,44.66919943159373,49.74348077449632,247.48521700718788
190,2011,SD,24.556416976838346,76.59933308263089,90.12428182451654
191,2011,TN,32.74512338871174,54.07068819119719,190.04784501869204
192,2011,TX,22.441324562397114,49.61735141033238,226.1305454283569
193,2011,UT,20.646406687756613,48.860575225348846,229.72038117763788
194,2011,VA,40.99204335327617,58.116530103224676,209.5493851701914
195,2011,VT,41.884651161205504,63.54979502105537,0.0
196,2011,WA,17.35734096071268,75.78434334495626,27.2051336242808
197,2011,WI,29.106776345521542,62.35641719088899,0.0
198,2011,WV,29.785934460250385,43.805698400009916,273.7880405647575
199,2011,WY,17.367043219494523,83.81781361632022,275.56355392183434
200,2012,AK,0.0,49.67556496302343,274.3992828680135
201,2012,AL,34.957238390971376,36.15061622113776,269.0242315028738
202,2012,AR,26.283419040005956,45.87227952054195,89.62946662664268
203,2012,AZ,24.09070855531,44.83413783088502,281.76329728343046
204,2012,CA,14.70862431327022,46.279774389379256,127.92428203856717
205,2012,CO,21.471098684213064,48.414271321384156,134.98752643174709
206,2012,CT,39.41057517183617,97.09050362987807,47.608983842491405
207,2012,DE,40.186755874383415,0.0,0.0
208,2012,FL,40.58454848443888,56.34101674614787,254.95595626920502
209,2012,GA,40.34199201489287,38.89635545639863,281.8021063185578
210,2012,HI,0.0,49.67556496302343,255.994097958862
211,2012,IA,17.22150933776691,46.037217919833246,269.683985100039
212,2012,ID,21.810677741577475,72.98039055700436,0.0
213,2012,IL,24.226540178255767,64.01550344258374,285.5956895022574
214,2012,IN,30.1255135176148,35.75282361108229,271.4692007158976
215,2012,KS,21.364373837612817,40.846509471548565,245.80672623792947
216,2012,KY,28.21416853759222,49.238963317840614,267.7532356024527
217,2012,LA,33.375770209531375,35.054260978789785,87.76663294052932
218,2012,MA,39.41057517183617,58.32997979642518,85.52541116192414
219,2012,MD,41.70030824435053,15.184034993580408,68.44943570588484
220,2012,ME,39.41057517183617,60.02787508324726,64.17073958309317
221,2012,MI,32.45405562525652,41.380133704549806,266.57926228984996
222,2012,MN,23.033162348089384,46.81339862238049,280.01689070269913
223,2012,MO,21.548716754467787,41.14727949378563,236.94856397010903
224,2012,MS,51.810061895028355,34.42361415797016,224.59758854082605
225,2012,MT,18.579825567224585,43.543737412900235,0.0
226,2012,NC,44.43634522082956,51.431673802536565,271.12962165853315
227,2012,ND,17.39614999584004,38.75082157467102,276.6890159405278
228,2012,NE,18.007392299095994,75.60000042810131,247.0680198795687
229,2012,NH,39.41057517183617,90.60939476360858,281.1229482038289
230,2012,NJ,0.0,0.0,0.0
231,2012,NM,25.497536078676873,39.64342938260034,297.82053556737645
232,2012,NV,30.144918035178485,39.98300843996477,294.1239749714953
233,2012,NY,0.0,45.56180723952306,238.90842024404085
234,2012,OH,28.097741432210125,34.70497966264352,271.52741426858864
235,2012,OK,22.89733072514362,36.09240266844672,151.64630476016725
236,2012,OR,14.70862431327022,38.24630411801531,67.62474370942839
237,2012,PA,0.0,0.0,174.66006259069297
238,2012,RI,39.41057517183617,9.275359395439533,64.17073958309317
239,2012,SC,46.134240507651654,41.72941502069606,243.7110383410519
240,2012,SD,25.895328688732334,48.66653004971203,20.07397341962803
241,2012,TN,30.49419935132474,34.04522606547837,264.1051863004807
242,2012,TX,23.12048267712595,35.413244553717874,267.92787626052586
243,2012,UT,22.489835856306314,34.39450738162463,273.1962027790652
244,2012,VA,42.17571892466072,38.84784416248942,240.51899520182633
245,2012,VT,39.41057517183617,46.75518506968945,23.392145923017484
246,2012,WA,14.70862431327022,57.961293962715224,47.88064708838294
247,2012,WI,27.45739235260866,41.20549304647666,257.81812260984805
248,2012,WV,31.46442522950879,35.151283566608186,275.6314697333072
249,2012,WY,16.78490769258409,68.76961024568557,257.2553916005013
250,2013,AK,0.0,54.82746437618074,0.0
251,2013,AL,32.59958950698413,47.01714605679914,260.21458052896264
252,2013,AR,27.874589480227804,56.525359663002845,131.55292682297554
253,2013,AZ,24.15862436678288,59.47484633268236,287.66227062278944
254,2013,CA,21.548716754467783,55.467813455782235,0.0
255,2013,CO,22.27638616310582,55.48721797334592,140.67305007790563
256,2013,CT,48.78295715509412,0.0,0.0
257,2013,DE,38.64409672807077,0.0,0.0
258,2013,FL,39.759856487982425,59.03824468749953,256.3045702398809
259,2013,GA,37.052926287848926,50.74281342902591,274.2246422099404
260,2013,HI,0.0,54.82746437618074,241.78028884346568
261,2013,IA,19.472433375153916,56.54476418056652,262.4849090839133
262,2013,ID,22.62566747925208,59.067351463845064,0.0
263,2013,IL,24.051899520182637,62.443737519925556,273.9626812228306
264,2013,IN,29.51427121435885,47.32761833781802,267.9957920719987
265,2013,KS,20.627002170192934,53.934856568251426,262.21324583802186
266,2013,KY,27.45739235260866,71.34070882287331,264.26042244099006
267,2013,LA,33.81237185471419,45.12520559434023,63.928183113547156
268,2013,MA,48.78295715509412,91.73485678230207,85.28285469237812
269,2013,MD,39.95390166361924,51.96529803553779,171.73968269735894
270,2013,ME,48.78295715509412,94.5873208641632,171.21576072313962
271,2013,MI,31.26067779509014,51.52869639035499,264.4156585814996
272,2013,MN,23.35333688789012,54.652823718107626,271.2266442463516
273,2013,MO,22.11144776381454,52.06232062335621,258.8853710758505
274,2013,MS,46.28947664816109,45.34835754632257,147.79450802377656
275,2013,MT,21.98531839965061,62.18177653281587,0.0
276,2013,NC,44.97967171261263,58.058316550533654,263.9693546775349
277,2013,ND,18.133521663259923,61.444404865395995,272.2550836772267
278,2013,NE,16.513244446692557,66.61570879611699,262.55282489538615
279,2013,NH,48.78295715509412,111.12967208720126,220.31889241803447
280,2013,NJ,0.0,0.0,0.0
281,2013,NM,26.972279413516635,49.09342943611302,283.9463055093445
282,2013,NV,27.059599742553193,50.024846279169694,281.29758886190206
283,2013,NY,0.0,59.26139663948185,263.717095949207
284,2013,OH,26.186396452187545,45.13490785312208,266.7053916540139
285,2013,OK,23.48916851083588,46.891016692635205,112.2163250707674
286,2013,OR,21.548716754467783,45.115503335558394,42.40857313542489
287,2013,PA,0.0,0.0,133.42546276787078
288,2013,RI,48.78295715509412,15.300462098962495,171.21576072313962
289,2013,SC,43.66016451828232,53.488552664286765,270.0720754513126
290,2013,SD,23.43095495814484,51.16001055664504,67.88670469653809
291,2013,TN,27.78726915119123,44.83413783088501,257.2844983768468
292,2013,TX,25.060934433494054,46.04692017861508,271.3624758692974
293,2013,UT,23.780236274291095,46.28947664816109,266.64717810132294
294,2013,VA,38.24630411801531,50.898049569535345,232.08773232040696
295,2013,VT,48.78295715509412,0.0,0.0
296,2013,WA,21.548716754467783,53.87664301556038,45.707341121250664
297,2013,WI,26.99168393108031,53.39153007646836,263.2610897864605
298,2013,WV,31.250975536308296,25.856519653604973,274.82618225441433
299,2013,WY,17.687217759295258,84.60369657764929,269.27649023120165
300,2014,AK,0.0,58.95092435846297,0.0
301,2014,AL,31.192761983617256,53.7408113926146,242.91545312094098
302,2014,AR,28.000718844391724,83.59466166433788,102.4946617713632
303,2014,AZ,24.430287612674416,66.49928169073488,255.05297885702348
304,2014,CA,28.922433428666572,62.172074274034024,0.0
305,2014,CO,22.40251552726975,61.8324952166696,148.9490768188156
306,2014,CT,45.86257726176012,0.0,0.0
307,2014,DE,36.35436365555641,0.0,0.0
308,2014,FL,38.527669622688684,64.26776217091155,246.14630529529384
309,2014,GA,36.02448685697383,57.94188944515156,256.15903635815334
310,2014,HI,0.0,58.95092435846297,232.9027220580816
311,2014,IA,19.42392208124471,89.5130395212606,249.18311229400996
312,2014,ID,25.03182765714853,113.59404581778875,0.0
313,2014,IL,23.71232046281822,90.73552412777249,260.4862437748542
314,2014,IN,29.815041236595903,57.80605782220578,258.14799940843056
315,2014,KS,20.85985638095711,67.1978443230274,246.24332788311224
316,2014,KY,27.31185847088105,73.17443573264116,251.0265414625597
317,2014,LA,33.89969218375076,54.468480801252646,122.05441547555368
318,2014,MA,45.86257726176012,89.66827566177002,118.71683845460053
319,2014,MD,34.45272093431567,42.6026183110617,217.84481642866504
320,2014,ME,45.86257726176012,91.82217711133865,217.68958028815564
321,2014,MI,30.49419935132474,74.50364518575331,246.65082275194953
322,2014,MN,22.77120136097969,71.80641724440164,255.72243471297045
323,2014,MO,23.246612041289872,62.45343977870739,246.34035047093067
324,2014,MS,38.634394469288935,53.54676621697781,156.0220234707773
325,2014,MT,22.043531952341652,72.6311092408581,0.0
326,2014,NC,41.94286471389654,72.05867597272949,246.24332788311224
327,2014,ND,17.842453899804703,40.1576490980379,262.261757131931
328,2014,NE,16.260985718364704,76.28886080161196,231.3988719468963
329,2014,NH,45.86257726176012,77.5889634783786,207.25965209767708
330,2014,NJ,0.0,0.0,0.0
331,2014,NM,41.82643760851446,56.19548286442027,276.4270549534182
332,2014,NV,29.155287639430753,60.78465126823082,273.68131571815724
333,2014,NY,0.0,66.13059585702494,225.4319827960644
334,2014,OH,25.157957021312452,49.32628364687719,272.77900565144614
335,2014,OK,22.907032983925458,57.86427137489683,185.37135628584488
336,2014,OR,28.922433428666572,54.82746437618074,40.43901460271126
337,2014,PA,23.751129497945584,0.0,165.72428225261783
338,2014,RI,45.86257726176012,84.51637624861273,217.68958028815564
339,2014,SC,42.29214603004281,57.82546233976946,253.63644907487475
340,2014,SD,24.32356276607417,72.26242340714816,44.54307006742981
341,2014,TN,28.447022748356392,54.49758757759817,239.90775289857035
342,2014,TX,24.187731143128396,54.57520564785289,237.1717159220914
343,2014,UT,24.498203424147306,54.39086273099793,252.85056611354565
344,2014,VA,37.22756694592205,76.66724889410376,240.79065844771796
345,2014,VT,45.86257726176012,0.0,0.0
346,2014,WA,28.922433428666572,58.795688217953526,16.134856354200775
347,2014,WI,26.80734101422534,63.94758763111083,253.684960368784
348,2014,WV,28.660472441556887,52.081725140919886,261.5631944996385
349,2014,WY,18.337269097678575,83.68198199337444,262.2908639082765
350,2015,AK,22.004722917214288,62.31760815576163,112.82756737402333
351,2015,AL,28.379106936883513,35.04455872000794,150.87012405762005
352,2015,AR,26.341632592696996,39.177720961072005,128.0892204378585
353,2015,AZ,24.032495002618955,40.865913989112244,160.71791672118815
354,2015,CA,25.478131561113187,42.41827539420673,0.0
355,2015,CO,21.238244473448887,41.27340885794955,49.69496948058712
356,2015,CT,41.84584212607814,0.0,0.0
357,2015,DE,34.54004126335224,0.0,0.0
358,2015,FL,35.88865523402806,50.597279547298285,157.9721774859273
359,2015,GA,34.07433284182389,37.08203306419445,175.7661200918228
360,2015,HI,22.004722917214288,62.31760815576163,129.38932311462509
361,2015,IA,18.880595589461638,38.65379898685261,146.66904600508303
362,2015,ID,22.392813268487913,43.57284418924575,0.0
363,2015,IL,23.95487693236423,47.43434318441828,152.65533967347866
364,2015,IN,26.914065860825595,34.13254639451494,157.61319391099917
365,2015,KS,19.850821467645698,46.81339862238048,132.22238267892254
366,2015,KY,25.846817394823137,43.00041092111716,154.67340950010146
367,2015,LA,36.69394271292083,33.82207411349603,100.18552418128515
368,2015,MA,41.84584212607814,68.30390182415724,105.62849135789769
369,2015,MD,33.472792797349776,33.05559566973064,98.96303957477326
370,2015,ME,41.84584212607814,69.98239259341565,98.43911760055387
371,2015,MI,28.049230138300935,36.412577208247455,148.5415819499783
372,2015,MN,22.024127434777967,44.15497971615617,152.64563741469684
373,2015,MO,22.053234211123495,38.32392218827003,149.9096004382178
374,2015,MS,35.22890163686291,33.07500018729432,104.78439484387756
375,2015,MT,20.151591489882748,26.099076123150986,0.0
376,2015,NC,40.487525896620475,54.759548564707856,148.96848133637926
377,2015,ND,18.211139733514642,108.38393285194037,147.2899905671209
378,2015,NE,15.688552450236116,42.99070866233533,43.49522611899103
379,2015,NH,41.84584212607814,63.40426113932777,145.0002574946065
380,2015,NJ,0.0,0.0,0.0
381,2015,NM,27.331262988444735,35.616991988136526,176.5617053119337
382,2015,NV,24.12951759043736,37.37310082764966,189.35898464518135
383,2015,NY,0.0,45.82376822663275,115.8546721139576
384,2015,OH,24.653439564656747,27.8745894802278,156.4974341510875
385,2015,OK,22.92643750148914,34.56914803969775,73.2520538028959
386,2015,OR,25.478131561113187,32.832443717748305,36.31555462042904
387,2015,PA,0.0,0.0,96.17849130438503
388,2015,RI,41.84584212607814,37.55744374450464,98.43911760055387
389,2015,SC,41.36072918698612,40.235267168292616,173.8547751118002
390,2015,SD,20.29712537161036,35.0348564612261,32.49286466038389
391,2015,TN,27.83578044510044,31.891324615909774,143.47700286585754
392,2015,TX,24.70195085856595,33.65713571420475,151.76273186554937
393,2015,UT,22.538347150215518,34.287782535024384,160.8343438265702
394,2015,VA,33.44368602100426,46.15364502521533,129.0497440572607
395,2015,VT,41.84584212607814,0.0,0.0
396,2015,WA,25.478131561113187,40.78829591885753,10.953850164697942
397,2015,WI,26.419250662951722,36.86858337099395,186.4289024930655
398,2015,WV,27.632033010681788,29.941170600759833,158.9229988465476
399,2015,WY,18.948511400934528,76.85159181095872,169.0424547560073
400,2016,AK,35.76428991691538,76.66195675295002,114.82887875365934
401,2016,AL,27.51913399940219,32.917117976208,129.24467125642312
402,2016,AR,25.38110897329479,34.45183891079005,95.35379930792857
403,2016,AZ,24.92598483407391,36.02889697460194,130.52536941562607
404,2016,CA,18.988202459587512,39.46878872452722,0.0
405,2016,CO,21.782452988757576,35.98655984537209,89.97698389573769
406,2016,CT,30.01702462396332,0.0,0.0
407,2016,DE,32.398488143142345,0.0,0.0
408,2016,FL,35.150401543082566,43.72367021212708,127.07489338339333
409,2016,GA,32.69484804775129,34.09197331233633,116.81872382746232
410,2016,HI,35.76428991691538,76.66195675295002,97.44948720480615
411,2016,IA,18.607168296518864,29.900597518581225,124.30181141883818
412,2016,ID,21.9729700702919,44.7926827251808,0.0
413,2016,IL,23.010229736423216,35.35150290692435,46.71902210513894
414,2016,IN,26.153761581739545,32.705432330058755,123.38097885808894
415,2016,KS,19.77143935033973,39.119507408380954,68.61790219927862
416,2016,KY,24.640209211772426,35.563188553073594,121.89917933504424
417,2016,LA,32.97003938774531,30.588575868566274,45.40657109901361
418,2016,MA,30.01702462396332,40.55896980219583,66.76565279547269
419,2016,MD,32.705432330058755,34.90696305001094,49.11106990662544
420,2016,ME,30.01702462396332,41.08818391756896,47.682191795118015
421,2016,MI,26.2490201225067,32.34556673160504,122.59774196733675
422,2016,MN,23.96281514409483,35.690199940763144,128.0698159202948
423,2016,MO,21.740115859527727,31.340059912396114,122.19553923965319
424,2016,MS,30.757924385485676,31.202464242399085,98.01045416710164
425,2016,MT,0.0,0.0,0.0
426,2016,NC,36.06064982152433,42.39005064138683,119.91991854354875
427,2016,ND,17.92977422884127,29.80533897781407,109.12395058993714
428,2016,NE,15.643569250429396,34.197816135410946,49.51327263430902
429,2016,NH,30.01702462396332,52.360444575016395,108.26662372303268
430,2016,NJ,0.0,0.0,0.0
431,2016,NM,21.591935907223256,32.620758071599056,132.44112451327675
432,2016,NV,14.796826665832405,32.97003938774531,95.6819120594599
433,2016,NY,0.0,29.466641943975265,75.41301144066946
434,2016,OH,22.04706004644414,24.523782106390332,126.82087060801425
435,2016,OK,22.30108282182323,30.6944186916409,102.31825706623884
436,2016,OR,18.988202459587512,25.783311700978356,0.0
437,2016,PA,0.0,0.0,107.18702692767154
438,2016,RI,30.01702462396332,5.302725436038653,47.682191795118015
439,2016,SC,37.182583746115334,37.20375231073027,131.26626917714844
440,2016,SD,26.196098710969398,28.175359502464858,19.136382411891983
441,2016,TN,26.005581629435067,29.00093352244692,119.46479440432789
442,2016,TX,24.375602154085858,30.54623873933643,118.48045614973388
443,2016,UT,22.61861129104711,30.387474504724494,120.88308823352786
444,2016,VA,33.63684917311544,35.446761447691514,99.53459081937622
445,2016,VT,30.01702462396332,0.0,0.0
446,2016,WA,18.988202459587512,39.140675972995886,13.008082955871265
447,2016,WI,25.73039028944105,32.34556673160503,124.31239570114566
448,2016,WV,26.778234237879822,26.80998708480221,132.01775322097828
449,2016,WY,19.655012244957643,5269.988250861671,128.67312001182015
